rank,country,upload_speed,download_speed,latency
1,Singapore,357.86,385.29,8
2,United Arab Emirates,172.63,342.88,10
3,Hong Kong (SAR),275.58,358.30,11
4,Chile,273.83,335.53,12
5,United States,133.92,309.24,21
6,Iceland,358.50,368.21,10
7,France,266.68,366.20,19
8,Thailand,242.63,302.94,10
9,Denmark,242.17,313.93,11
10,China,53.99,302.71,28
11,Spain,262.63,298.78,18
12,Romania,252.89,303.25,10
13,Switzerland,232.50,339.30,12
14,Israel,82.23,302.74,12
15,Japan,191.39,306.58,21
16,Canada,160.94,294.29,18
17,Taiwan,167.03,225.31,8
18,Netherlands,180.67,282.92,13
19,Liechtenstein,245.88,287.21,6
20,Hungary,150.22,301.36,14
21,New Zealand,150.71,254.33,15
22,Portugal,114.34,258.25,13
23,Kuwait,43.77,212.29,25
24,Brazil,140.25,228.72,13
25,Macau (SAR),207.73,237.02,6
26,Uruguay,46.28,229.17,15
27,Qatar,172.42,278.28,9
28,Poland,86.78,244.37,16
29,Peru,173.95,217.13,14
30,Panama,74.24,214.73,14
31,South Korea,201.76,253.14,26
32,Sweden,196.41,233.52,13
33,Luxembourg,150.22,250.88,12
34,Jordan,166.34,198.45,10
35,Colombia,144.18,202.77,18
36,Norway,186.84,217.52,14
37,Vietnam,195.09,221.35,6
38,Malaysia,98.95,199.04,12
39,Moldova,228.09,249.54,10
40,Ireland,57.52,219.73,17
41,Lithuania,198.11,232.20,12
42,Trinidad and Tobago,83.21,150.05,17
43,Finland,108.73,209.52,16
44,Malta,40.54,221.01,12
45,Saudi Arabia,70.36,161.76,19
46,United Kingdom,81.31,200.82,19
47,Austria,41.54,168.60,16
48,Belgium,55.83,202.03,18
49,San Marino,90.18,210.24,13
50,Philippines,163.44,172.20,14
51,Costa Rica,101.78,133.78,16
52,Barbados,137.63,164.80,10
53,Latvia,194.82,219.43,17
54,Slovenia,68.09,200.26,14
55,Ecuador,135.53,149.12,12
56,Paraguay,42.55,124.16,16
57,Germany,46.31,167.30,19
58,Grenada,57.16,134.51,16
59,Dominica,68.22,132.79,46
60,Russia,138.69,143.04,11
61,Cyprus,65.51,139.73,16
62,Argentina,81.73,145.53,22
63,Bahrain,62.91,110.53,9
64,Estonia,101.34,123.57,13
65,Slovakia,85.48,196.70,16
66,Guyana,65.40,141.55,19
67,Serbia,62.07,149.46,15
68,Italy,117.58,206.82,21
69,Bulgaria,108.19,148.92,12
70,Ukraine,139.71,142.22,11
71,Egypt,23.67,78.29,15
72,Brunei,80.23,117.03,10
73,Jamaica,70.57,104.09,20
74,Montenegro,30.84,132.15,14
75,Mexico,64.53,116.02,17
76,Kosovo,45.51,99.85,11
77,Nepal,75.18,97.42,9
78,Mongolia,66.92,82.61,18
79,Oman,52.90,118.45,23
80,Czechia,86.84,149.81,17
81,Palestine,85.99,91.48,10
82,Australia,31.78,131.65,21
83,Uzbekistan,109.86,92.90,17
84,Côte d'Ivoire,31.44,106.73,19
85,India,87.46,93.98,15
86,Saint Kitts and Nevis,59.46,85.71,14
87,Albania,49.71,110.44,17
88,Kyrgyzstan,77.93,77.40,9
89,Croatia,85.11,153.97,19
90,Belarus,71.51,107.99,15
91,The Bahamas,60.29,108.03,21
92,Armenia,96.51,103.31,9
93,Nicaragua,26.81,76.62,17
94,Kazakhstan,88.83,95.53,22
95,Venezuela,92.21,98.21,26
96,El Salvador,26.80,72.16,23
97,Mauritius,27.81,87.81,11
98,Guatemala,22.65,71.79,27
99,Greece,24.03,84.96,26
100,Bangladesh,66.79,71.63,10
101,South Africa,63.54,81.92,22
102,Honduras,27.84,58.15,40
103,Belize,62.65,83.17,14
104,Seychelles,53.98,83.53,14
105,Cambodia,60.45,60.43,11
106,North Macedonia,56.90,75.07,18
107,Burkina Faso,27.72,63.27,24
108,Turkey,39.18,100.08,18
109,Congo,33.36,54.03,21
110,Gabon,17.05,58.51,17
111,DR Congo,15.83,56.83,94
112,Antigua and Barbuda,28.36,47.23,25
113,Azerbaijan,55.61,60.23,11
114,Ghana,43.75,76.93,27
115,Laos,51.63,58.90,15
116,Haiti,29.30,55.51,44
117,Madagascar,48.11,46.73,33
118,Dominican Republic,26.80,58.65,19
119,Iraq,42.15,47.68,35
120,Rwanda,19.44,47.82,85
121,Bolivia,23.83,46.48,18
122,Bosnia and Herzegovina,18.06,71.63,25
123,Tajikistan,69.33,59.40,18
124,Morocco,40.65,44.51,31
125,Indonesia,37.40,48.54,16
126,Togo,11.42,42.94,23
127,Georgia,36.08,34.41,17
128,Mauritania,24.23,35.19,32
129,Benin,17.99,34.70,18
130,Senegal,15.41,47.00,21
131,Sri Lanka,36.54,56.93,23
132,Nigeria,26.36,42.93,43
133,Myanmar (Burma),31.01,32.99,16
134,Fiji,24.59,42.31,43
135,Angola,15.77,36.52,28
136,Zambia,10.61,35.55,246
137,Tanzania,29.99,34.14,31
138,Lebanon,33.30,63.60,27
139,Zimbabwe,42.38,42.40,63
140,Somalia,38.60,35.56,58
141,Mozambique,11.91,30.64,116
142,Pakistan,23.98,24.07,21
143,Uganda,27.83,30.54,23
144,Iran,23.16,35.71,40
145,Algeria,24.11,53.44,34
146,Namibia,21.74,26.61,42
147,Maldives,21.72,35.75,21
148,Suriname,22.44,28.76,28
149,Kenya,22.82,24.56,34
150,Libya,17.50,24.66,40
151,Tunisia,10.29,16.73,43
152,Cameroon,9.55,27.13,125
153,Ethiopia,45.14,40.78,24
154,Guinea,14.08,24.40,61
155,Botswana,19.65,21.15,52
156,Yemen,6.94,17.19,75
157,Syria,25.01,19.09,29
158,Afghanistan,11.40,10.42,43
159,Cuba,5.85,9.18,142
